-6.3039    118.414    -14.122
-39.2528    189.202    -6.46848
-22.1215    136.429    -114.722
-10.2895    86.9037    -104.144
-10.0954    117.831    -13.4747
-46.7841    186.862    -4.26052
-27.8156    136.453    -113.73
-15.0285    87.433    -103.683
-18.8877    116.679    -11.8521
-58.6983    182.946    -0.891256
-37.4639    136.287    -111.932
-22.6886    88.1973    -102.707
-29.0803    115.825    -9.83351
-72.0159    179.191    2.86929
-49.5186    135.826    -109.607
-32.9638    88.6376    -101.049
-37.8572    116.059    -7.51926
-79.5549    179.769    6.4517
-60.5111    136.47    -106.791
-45.1906    88.813    -98.4706
-45.9336    116.295    -4.54551
-84.3762    181.334    10.7363
-72.5516    137.987    -102.336
-58.426    88.9875    -94.9388
-53.7601    116.531    -1.25986
-87.5038    183.565    14.37
-84.0658    139.102    -97.5552
-71.9074    88.6158    -90.5624
-62.2493    116.526    1.62613
-91.4379    185.396    17.2402
-96.338    139.186    -93.1998
-85.8346    87.6661    -86.1927
-71.6827    115.989    4.87294
-97.1132    186.394    20.1585
-109.236    138.521    -88.4384
-99.2036    86.3027    -81.6347
-81.9586    114.912    8.58517
-104.619    186.369    23.9499
-122.955    137.766    -82.9648
-112.875    85.211    -76.7956
-92.4811    114.228    12.5875
-113.214    186.175    28.3145
-137.459    137.321    -76.6938
-126.771    84.8553    -71.5144
-103.016    112.734    17.2267
-122.688    184.963    33.6635
-152.375    136.021    -69.2952
-140.904    84.5132    -65.3087
-113.491    111.745    22.6989
-132.258    183.821    40.1054
-167.33    135.225    -60.7764
-155.763    85.5635    -57.6082
-123.64    108.455    27.5287
-140.784    181.238    46.1581
-182.327    132.339    -52.2186
-171.279    83.8572    -49.6377
